NAME,GEOID,NDI,pct_poverty,pct_noHS,pct_FHH,pct_mgmt,pct_crowd,pct_pubassist,pct_unempl,pct_under30K
"Washington County, Mississippi",28151,2.084952104436112,0.3330467675378267,0.21522370331265672,0.5401673300300545,0.30042179053050555,0.03043882179354063,0.3034045576260998,0.08032366291691335,0.48642002295207387
"Perry County, Mississippi",28111,0.7915608978107296,0.1872429710449014,0.18736277140766042,0.24688279301745636,0.2582943665107994,0.02542187157571773,0.1871575717729564,0.07485114828466119,0.4168310322156476
"Choctaw County, Mississippi",28019,1.167778693534042,0.23285643808584114,0.19555095706156234,0.2998891352549889,0.2688963210702341,0.028128950695322376,0.1997471554993679,0.10551046561298591,0.41213653603034134
"Itawamba County, Mississippi",28057,0.22407298517208696,0.153584229390681,0.21518745218056617,0.17181996086105675,0.24657387580299786,0.014817367332873881,0.11670112566046405,0.041428244449530784,0.3662991040661613
"Carroll County, Mississippi",28015,0.17295980414368106,0.14824851952223225,0.18267108167770418,0.26551373346897256,0.3677722336366305,0.036632039365773646,0.08283214871514488,0.07880910683012259,0.3482777474029524
"Grenada County, Mississippi",28043,0.8534136889732296,0.2449470644850818,0.20011144389496413,0.44261970716264343,0.37634143332922165,0.023224708171206226,0.1265807392996109,0.07227107012652799,0.39275291828793774
"Jefferson County, Mississippi",28063,2.7741630424673054,0.49723596159441374,0.2518977227327207,0.6670616113744076,0.28728070175438597,0.034782608695652174,0.3422924901185771,0,0.6035573122529644
"Greene County, Mississippi",28041,0.35664871254909347,0.14512003148366784,0.22924373201808468,0.16150442477876106,0.3516308671439936,0.034755512943432404,0.1725790987535954,0.0865874363327674,0.3216682646212848
"Marshall County, Mississippi",28093,0.5101643251455897,0.182970744918306,0.1872680559520411,0.3029083354972734,0.2535475041417561,0.016827290806180204,0.1535872724491357,0.04739270236264504,0.3476365305185865
"Quitman County, Mississippi",28119,3.0996739680006336,0.35461880912632165,0.29350912778904664,0.5651201788708776,0.2645739910313901,0.036333878887070375,0.34337152209492633,0.16253869969040247,0.5613747954173486
"Bolivar County, Mississippi",28011,1.6629581565705394,0.345702495325295,0.23055142294956088,0.4643559488692232,0.3199244570349386,0.016530964717493216,0.28587877292540503,0.020365656098125434,0.5012747758861749
"Lamar County, Mississippi",28073,-0.2507113506645996,0.16544559508717627,0.09236340187008607,0.18920495043089483,0.39740400216333155,0.021608967721604467,0.13199477783280061,0.08185607622188631,0.27330842299554314
"Lee County, Mississippi",28081,0.23378993747781213,0.15859935748151863,0.16234600964113552,0.25518576564948836,0.31519057849924403,0.04307806737533703,0.13180648960238014,0.059141216293310005,0.3284470201754114
"Pike County, Mississippi",28113,1.6584120943259726,0.33842001453337484,0.1829937304075235,0.5184439973172368,0.22743550390996126,0.025824475333878442,0.19705641864268192,0.04296813064848581,0.4872581084764241
"Tallahatchie County, Mississippi",28135,2.1101809748096687,0.3058491253644315,0.3107673764564082,0.5076495132127955,0.32231838447416733,0.020691276745826475,0.29720197507641666,0.06934481109516978,0.49941217963790263
"Smith County, Mississippi",28129,0.19007351846942117,0.16930320150659134,0.18440820813484793,0.21277691911385885,0.2700310559006211,0.013113079019073569,0.10899182561307902,0.027839869945133103,0.40548365122615804
"Stone County, Mississippi",28131,0.5705320872612074,0.17069998869162048,0.1973805725799681,0.1956845238095238,0.20469193091002835,0.05639771801140994,0.18924205378973105,0.04481207838098297,0.32469437652811733
"Warren County, Mississippi",28149,0.5390013979570518,0.20616297060340383,0.12810440952863658,0.3761316155988858,0.3359828478795168,0.025205158264947247,0.15911755302142172,0.06619289340101522,0.36656719599275284
"Clarke County, Mississippi",28023,0.7752628066438074,0.19268323611463353,0.18981481481481483,0.3218550402665926,0.25878334417696813,0.008788750399488655,0.1788111217641419,0.05929487179487179,0.4095557686161713
"Kemper County, Mississippi",28069,1.6077794998862056,0.29957668511885377,0.16705744431418523,0.43868650590046177,0.20580474934036938,0.035849056603773584,0.30619946091644207,0.005076142131979695,0.5167115902964959
"Montgomery County, Mississippi",28097,1.498573461997401,0.2732696897374702,0.2051460361613352,0.4963472281908036,0.32042619542619544,0.02359818142455077,0.194414375405932,0.09281045751633987,0.4487984412210435
"Oktibbeha County, Mississippi",28105,0.5411459887744201,0.30049238830916564,0.09503367334882439,0.3381161768109234,0.4593313250037039,0.018883926047379433,0.14609600271385764,0.08267020335985853,0.426245264883813
"Pearl River County, Mississippi",28109,0.25124785488612444,0.1612981577668996,0.16009589770911029,0.19286976071944756,0.3214302583723017,0.025106013878180417,0.17039321511179645,0.07639939485627836,0.32960678488820355
"Leake County, Mississippi",28079,1.6917662772337767,0.2592508821134534,0.22701599183395713,0.402825694102185,0.22177615571776155,0.03636141038197845,0.16907443682664056,0.12618636755823986,0.4533545543584721
"Noxubee County, Mississippi",28103,1.9140873875821993,0.29463525404484814,0.2782509937535491,0.465592972181552,0.18778979907264295,0.04154228855721393,0.2972636815920398,0.019230769230769232,0.4557213930348259
"Neshoba County, Mississippi",28099,1.2739379896300929,0.23656212094957546,0.21845725603554414,0.35890544832641097,0.298703558687897,0.07430600990746798,0.19955135994018133,0.07208994708994709,0.4231236564164875
"Rankin County, Mississippi",28121,-0.9549385003139849,0.08209124300573273,0.10548853574604647,0.17501610148133628,0.39258709340372294,0.021818508858710315,0.07115747819048475,0.03690963690963691,0.19194172137782176
"Tate County, Mississippi",28137,0.6113866710773902,0.1966083730789613,0.18427438925740172,0.30812796571253637,0.30469947216073556,0.04920109119251754,0.17186282151208107,0.06600294985250738,0.31284099766173035
